"","Time","F1","F2","F3","Word","VClass","N","RTime"
"176",0.047091,571.333,1515.809,2514.105,"neighborhood81","u",3,0.189655172413793
"177",0.049091,570.671,1514.028,2523.761,"neighborhood81","u",3,0.206896551724138
"178",0.051091,569.071,1513.269,2532.055,"neighborhood81","u",3,0.224137931034483
"179",0.053091,567.652,1514.617,2537.569,"neighborhood81","u",3,0.241379310344828
"180",0.055091,567.387,1517.908,2540.945,"neighborhood81","u",3,0.258620689655172
"181",0.057091,567.541,1523.678,2542.46,"neighborhood81","u",3,0.275862068965517
"182",0.059091,567.458,1532.253,2543.157,"neighborhood81","u",3,0.293103448275862
"183",0.061091,567.814,1542.408,2544.143,"neighborhood81","u",3,0.310344827586207
"184",0.063091,568.919,1554.093,2543.752,"neighborhood81","u",3,0.327586206896552
"185",0.065091,569.943,1568.495,2539.057,"neighborhood81","u",3,0.344827586206897
"186",0.067091,570.595,1582.872,2531.415,"neighborhood81","u",3,0.362068965517241
"187",0.069091,571.525,1592.045,2526.951,"neighborhood81","u",3,0.379310344827586
"188",0.071091,572.753,1596.399,2526.733,"neighborhood81","u",3,0.396551724137931
"189",0.073091,573.965,1599.534,2526.329,"neighborhood81","u",3,0.413793103448276
"190",0.075091,575.41,1602.27,2524.136,"neighborhood81","u",3,0.431034482758621
"191",0.077091,577.094,1604.427,2519.931,"neighborhood81","u",3,0.448275862068966
"192",0.079091,578.375,1607.583,2508.709,"neighborhood81","u",3,0.46551724137931
"193",0.081091,578.855,1612.491,2484.363,"neighborhood81","u",3,0.482758620689655
"194",0.083091,578.731,1618.163,2454.857,"neighborhood81","u",3,0.5
"195",0.085091,578.154,1625.074,2441.995,"neighborhood81","u",3,0.517241379310345
"196",0.087091,576.947,1635.401,2453.739,"neighborhood81","u",3,0.53448275862069
"197",0.089091,575.302,1648.514,2477.153,"neighborhood81","u",3,0.551724137931035
"198",0.091091,573.808,1659.082,2495.102,"neighborhood81","u",3,0.568965517241379
"199",0.093091,572.46,1665.751,2501.088,"neighborhood81","u",3,0.586206896551724
"200",0.095091,570.817,1672.079,2499.613,"neighborhood81","u",3,0.603448275862069
"201",0.097091,569.052,1678.942,2499.384,"neighborhood81","u",3,0.620689655172414
"202",0.099091,567.72,1684.206,2505.017,"neighborhood81","u",3,0.637931034482759
"203",0.101091,566.638,1687.815,2516.03,"neighborhood81","u",3,0.655172413793103
"204",0.103091,565.334,1691.945,2531.461,"neighborhood81","u",3,0.672413793103448
"205",0.105091,564.132,1697.666,2547.547,"neighborhood81","u",3,0.689655172413793
"206",0.107091,563.338,1703.887,2560.743,"neighborhood81","u",3,0.706896551724138
"207",0.109091,562.179,1710.448,2574.544,"neighborhood81","u",3,0.724137931034483
"208",0.111091,559.942,1718.059,2590.779,"neighborhood81","u",3,0.741379310344828
"209",0.113091,557.24,1726,2603.8,"neighborhood81","u",3,0.758620689655172
"210",0.115091,554.526,1732.823,2609.048,"neighborhood81","u",3,0.775862068965517
"211",0.117091,550.975,1738.345,2608.457,"neighborhood81","u",3,0.793103448275862
"212",0.119091,546.594,1742.846,2607.102,"neighborhood81","u",3,0.810344827586207
"213",0.121091,543.075,1746.322,2609.963,"neighborhood81","u",3,0.827586206896552
"214",0.123091,540.938,1749.097,2617.924,"neighborhood81","u",3,0.844827586206897
"215",0.125091,538.477,1751.841,2628.616,"neighborhood81","u",3,0.862068965517241
"216",0.127091,534.494,1754.796,2638.566,"neighborhood81","u",3,0.879310344827586
"217",0.129091,530.029,1757.268,2645.113,"neighborhood81","u",3,0.896551724137931
"218",0.131091,526.116,1758.175,2646.878,"neighborhood81","u",3,0.913793103448276
"219",0.133091,521.875,1757.232,2643.686,"neighborhood81","u",3,0.93103448275862
"220",0.135091,516.553,1755.916,2638.656,"neighborhood81","u",3,0.948275862068965
"221",0.137091,511.36,1755.661,2635.173,"neighborhood81","u",3,0.96551724137931
"222",0.139091,507.483,1754.921,2631.71,"neighborhood81","u",3,0.982758620689655
