Token,DepVar,Style,GramStatus,Following.Seg,Sex,Age,Ethnicity
going,In,narrative,progressive,vowel,m,3,other
doing,In,group,progressive,apical,m,3,other
playing,Ing,careful,progressive,0,m,3,other
trying,In,careful,progressive,apical,m,3,other
going,In,careful,participle,apical,m,3,other
teaching,In,careful,progressive,0,m,3,other
giving,In,narrative,participle,labial,m,3,other
training,Ing,careful,gerund,0,m,3,other
dancing,Ing,careful,gerund,vowel,m,3,other
falling,In,careful,progressive,vowel,m,3,other
trying,In,tangent,progressive,apical,m,3,other
getting,In,tangent,progressive,vowel,m,3,other
going,In,narrative,participle,apical,m,3,other
wearing,In,narrative,progressive,apical,m,3,other
doing,Ing,narrative,gerund,vowel,m,3,other
being,In,careful,gerund,vowel,m,3,other
aggravating,Ing,response,adjective,vowel,m,3,other
asking,In,careful,participle,labial,m,3,other
frying,Ing,careful,gerund,vowel,m,3,other
eating,Ing,careful,gerund,vowel,m,3,other
eating,Ing,careful,gerund,vowel,m,3,other
coming,In,careful,progressive,vowel,m,3,other
coming,In,careful,progressive,vowel,m,3,other
morning,Ing,careful,noun,apical,m,3,other
saying,In,careful,progressive,palatal,m,3,other
openings,Ing,narrative,noun,apical,m,3,other
starving,In,narrative,progressive,vowel,m,3,other
starving,Ing,narrative,progressive,labial,m,3,other
something,In,careful,thing,0,m,3,other
something,In,careful,thing,0,m,3,other
doing,In,group,progressive,0,m,3,other
picking,Ing,tangent,progressive,apical,m,3,other
doing,In,tangent,progressive,apical,m,3,other
making,In,tangent,progressive,labial,m,3,other
something,In,tangent,thing,0,m,3,other
being,Ing,tangent,progressive,0,m,3,other
charming,Ing,narrative,adjective,velar,m,3,other
telling,In,narrative,progressive,apical,m,3,other
puking,In,narrative,progressive,vowel,m,3,other
something,In,narrative,thing,vowel,m,3,other
being,Ing,narrative,progressive,vowel,m,3,other
something,In,narrative,thing,apical,m,3,other
having,In,narrative,progressive,vowel,m,3,other
something,In,narrative,thing,apical,m,3,other
having,In,narrative,gerund,apical,m,3,other
pelting,In,narrative,participle,labial,m,3,other
going,In,narrative,progressive,vowel,m,3,other
kidding,In,narrative,progressive,0,m,3,other
kidding,Ing,narrative,progressive,0,m,3,other
trying,In,kids,progressive,apical,m,3,other
riding,Ing,kids,participle,vowel,m,3,other
skateboarding,Ing,kids,progressive,apical,m,3,other
skateboarding,Ing,kids,progressive,vowel,m,3,other
sticking,In,kids,progressive,vowel,m,3,other
freaking,In,narrative,progressive,vowel,m,3,other
talking,In,narrative,progressive,apical,m,3,other
skateboarding,In,kids,progressive,apical,m,3,other
skateboarding,In,kids,participle,vowel,m,3,other
going,In,kids,progressive,vowel,m,3,other
getting,Ing,careful,progressive,vowel,m,3,other
earning,In,careful,progressive,labial,m,3,other
designing,Ing,careful,participle,apical,m,3,other
leaving,In,careful,progressive,labial,m,3,other
going,In,narrative,participle,vowel,m,3,other
doing,In,tangent,progressive,0,m,3,other
something,In,tangent,thing,vowel,m,3,other
being,Ing,tangent,progressive,vowel,m,3,other
coming,In,careful,progressive,vowel,m,3,other
living,In,careful,gerund,0,m,3,other
something,In,careful,thing,velar,m,3,other
going,In,careful,progressive,vowel,m,3,other
something,In,careful,thing,velar,m,3,other
going,In,careful,progressive,vowel,m,3,other
charming,Ing,careful,adjective,apical,m,3,other
closing,Ing,careful,progressive,0,m,3,other
changing,Ing,careful,progressive,palatal,m,3,other
travelling,In,narrative,progressive,labial,m,3,other
bowling,Ing,narrative,gerund,vowel,m,3,other
something,In,narrative,thing,labial,m,3,other
travelling,In,narrative,gerund,0,m,3,other
riding,Ing,narrative,participle,apical,m,3,other
going,In,narrative,progressive,apical,m,3,other
printing,Ing,narrative,gerund,vowel,m,3,other
killing,In,narrative,participle,vowel,m,3,other
transcribing,In,careful,participle,apical,m,3,other
gonna,Ing,careful,progressive,palatal,m,3,other
something,In,narrative,thing,0,m,3,other
giving,In,narrative,gerund,vowel,m,3,other
trying,In,narrative,progressive,apical,m,3,other
something,In,narrative,thing,0,m,3,other
handing,In,narrative,participle,vowel,m,3,other
trying,In,narrative,participle,apical,m,3,other
something,In,narrative,thing,0,m,3,other
dying,In,narrative,progressive,velar,m,3,other
charging,In,careful,progressive,vowel,m,3,other
opening,In,narrative,progressive,apical,m,3,other
opening ,Ing,narrative,noun,0,m,3,other
lighting,Ing,narrative,noun,vowel,m,3,other
opening,Ing,narrative,noun,0,m,3,other
trying,In,careful,progressive,apical,m,3,other
sending,Ing,careful,gerund,labial,m,3,other
bowling,Ing,narrative,noun,vowel,m,3,other
visiting,Ing,careful,gerund,vowel,m,3,other
living,Ing,careful,gerund,vowel,m,3,other
depending,Ing,careful,participle,vowel,m,3,other
trying,In,careful,progressive,apical,m,3,other
outstanding,Ing,careful,adjective,labial,m,3,other
dining,Ing,careful,noun,vowel,m,3,other
dying,In,careful,progressive,apical,m,3,other
something,In,careful,thing,apical,m,3,other
supporting,In,careful,gerund,apical,m,3,other
talking,In,careful,participle,0,m,3,other
charging,In,careful,progressive,apical,m,3,other
giggling,In,narrative,progressive,vowel,m,3,other
something,In,careful,thing,0,m,3,other
interesting,Ing,careful,adjective,0,f,6,other
interesting,Ing,careful,adjective,apical,f,6,other
ruling,In,careful,progressive,apical,f,6,other
ruling,In,careful,progressive,apical,f,6,other
telling,In,narrative,progressive,vowel,f,6,other
going,In,narrative,progressive,apical,f,6,other
surprising,Ing,narrative,adjective,0,f,6,other
interesting,Ing,careful,adjective,labial,f,6,other
saying,In,language,progressive,vowel,f,6,other
talking,In,language,progressive,vowel,f,6,other
saying,In,language,progressive,0,f,6,other
interesting,Ing,narrative,adjective,labial,f,6,other
interesting,Ing,narrative,adjective,0,f,6,other
visiting,In,careful,participle,0,f,6,other
going,In,careful,progressive,labial,f,6,other
going,In,careful,progressive,apical,f,6,other
going,In,careful,progressive,vowel,f,6,other
waiting,Ing,careful,progressive,0,f,6,other
interesting,Ing,careful,adjective,apical,f,6,other
advertising,Ing,response,gerund,vowel,f,6,other
existing,Ing,response,progressive,0,f,6,other
going,Ing,careful,participle,apical,f,6,other
interesting,Ing,careful,adjective,0,f,6,other
saying,In,careful,progressive,apical,f,6,other
morning,Ing,careful,noun,apical,f,6,other
during,Ing,careful,during,apical,f,6,other
coming,In,careful,progressive,labial,f,6,other
interesting,Ing,careful,adjective,apical,f,6,other
going,In,careful,progressive,labial,f,6,other
taking,Ing,careful,progressive,vowel,f,6,other
being,In,careful,gerund,vowel,f,6,other
getting,In,careful,progressive,apical,f,6,other
doing,In,careful,progressive,vowel,f,6,other
having,In,careful,participle,apical,f,6,other
going,In,careful,participle,0,f,6,other
going,In,careful,progressive,apical,f,6,other
eating,Ing,careful,gerund,apical,f,6,other
going,In,careful,participle,apical,f,6,other
eating,Ing,careful,gerund,apical,f,6,other
coming,Ing,careful,participle,apical,f,6,other
advertising,Ing,careful,gerund,vowel,f,6,other
talking,In,careful,progressive,apical,f,6,other
advertising,Ing,careful,gerund,labial,f,6,other
working,In,careful,participle,labial,f,6,other
raising,In,careful,gerund,vowel,f,6,other
interesting,Ing,careful,adjective,palatal,f,6,other
interesting,Ing,careful,adjective,0,f,6,other
saying,In,careful,progressive,apical,f,6,other
caring,Ing,careful,adjective,palatal,f,6,other
washing,Ing,careful,noun,vowel,f,6,other
ironing,Ing,careful,noun,apical,f,6,other
interesting,Ing,careful,adjective,vowel,f,6,other
something,In,careful,thing,0,f,6,other
dressing,In,narrative,progressive,vowel,f,6,other
drinking,In,narrative,participle,labial,f,6,other
drinking,In,narrative,progressive,apical,f,6,other
smoking,In,narrative,progressive,0,f,6,other
following,Ing,narrative,participle,labial,f,6,other
getting,In,narrative,progressive,labial,f,6,other
being,In,narrative,progressive,labial,f,6,other
getting,In,narrative,participle,0,f,6,other
living,Ing,careful,gerund,vowel,f,6,other
driving,In,careful,progressive,vowel,f,6,other
rushing,In,careful,progressive,0,f,6,other
going,In,careful,participle,apical,f,6,other
going,In,careful,participle,0,f,6,other
interesting,Ing,careful,adjective,apical,f,6,other
embarrassing,Ing,careful,adjective,0,f,6,Italian
growing,In,response,progressive,vowel,f,6,Italian
being,Ing,careful,participle,labial,f,6,Italian
embarrassing,Ing,careful,adjective,0,f,6,Italian
dancing,In,careful,progressive,vowel,f,6,Italian
going,In,careful,participle,apical,f,6,Italian
dancing,Ing,careful,progressive,0,f,6,Italian
watching,In,careful,progressive,vowel,f,6,Italian
exciting,In,response,adjective,apical,f,6,Italian
dancing,Ing,careful,participle,labial,f,6,Italian
dancing,In,response,gerund,labial,f,6,Italian
being,In,narrative,participle,0,f,6,Italian
walking,In,narrative,participle,apical,f,6,Italian
laughing,In,narrative,progressive,vowel,f,6,Italian
talking,In,narrative,participle,labial,f,6,Italian
coming,In,narrative,progressive,vowel,f,6,Italian
growing,In,careful,progressive,vowel,f,6,Italian
dancing,Ing,careful,participle,labial,f,6,Italian
saying,In,careful,progressive,0,f,6,Italian
wearing,In,narrative,participle,apical,f,6,Italian
saying,In,tangent,progressive,0,f,6,Italian
saying,In,careful,progressive,0,f,6,Italian
during,In,careful,during,apical,f,6,Italian
boating,Ing,careful,participle,0,f,6,Italian
nothing,Ing,response,thing,vowel,f,6,Italian
growing,In,careful,progressive,vowel,f,6,Italian
screeching,In,careful,adjective,apical,f,6,Italian
talking,Ing,careful,participle,vowel,f,6,Italian
saying,In,careful,progressive,0,f,6,Italian
hanging,In,careful,participle,vowel,f,6,Italian
teaching,In,careful,participle,velar,f,6,Italian
doing,In,careful,participle,velar,f,6,Italian
saying,In,careful,progressive,0,f,6,Italian
raising,Ing,response,participle,labial,f,6,Italian
being,Ing,careful,participle,apical,f,6,Italian
saying,In,careful,participle,0,f,6,Italian
working,In,response,progressive,vowel,f,6,Italian
nothing,In,response,thing,0,f,6,Italian
growing,In,careful,participle,vowel,f,6,Italian
saying,In,careful,progressive,0,f,6,Italian
waiting,In,careful,progressive,vowel,f,6,Italian
waiting,In,careful,participle,vowel,f,6,Italian
waiting,In,careful,participle,vowel,f,6,Italian
coming,In,careful,progressive,0,f,6,Italian
morning,Ing,careful,noun,vowel,f,6,Italian
growing,In,careful,participle,vowel,f,6,Italian
being,In,careful,participle,vowel,f,6,Italian
going,In,narrative,progressive,vowel,f,6,Italian
waiting,In,narrative,progressive,vowel,f,6,Italian
sipping,In,narrative,progressive,vowel,f,6,Italian
nothing,In,careful,thing,0,f,6,Italian
saying,In,careful,progressive,0,f,6,Italian
having,In,careful,participle,labial,f,6,Italian
saying,In,careful,progressive,0,f,6,Italian
going,In,narrative,progressive,apical,f,6,Italian
talking,In,narrative,participle,vowel,f,6,Italian
laughing,In,narrative,progressive,vowel,f,6,Italian
talking,In,narrative,participle,vowel,f,6,Italian
thinking,In,narrative,participle,labial,f,6,Italian
coming,In,narrative,participle,0,f,6,Italian
laughing,In,narrative,participle,vowel,f,6,Italian
talking,In,narrative,participle,vowel,f,6,Italian
waiting,In,narrative,participle,labial,f,6,Italian
dying,In,narrative,progressive,apical,f,6,Italian
staying,In,narrative,progressive,vowel,f,6,Italian
laughing,In,careful,participle,apical,f,6,Italian
talking,In,careful,participle,apical,f,6,Italian
