Begin	end	Duration	Label	Num	Pos
302.4818	302.6852	0.2035	9	54	2
302.6852	303.1397	0.4545	7	54	3
303.3284	303.4564	0.128	8	54	4
303.4564	303.6566	0.2002	3	54	5
303.6566	303.8994	0.2428	7	54	6
303.8994	304.0867	0.1873	8	54	7
311.6051	311.8107	0.2056	0	55	1
311.8107	311.9813	0.1706	6	55	2
311.9813	312.4509	0.4697	7	55	3
313.0234	313.2313	0.208	1	55	4
313.2313	313.4393	0.208	4	55	5
313.4393	313.6566	0.2173	4	55	6
313.6566	314.0682	0.4116	7	55	7
315.6933	315.8757	0.1824	0	56	1
315.8757	316.0942	0.2185	5	56	2
316.0942	316.5225	0.4283	7	56	3
316.6266	316.8017	0.1752	2	56	4
316.8017	317.0307	0.2289	7	56	5
317.0307	317.1989	0.1682	3	56	6
317.1989	317.5425	0.3436	0	56	7
319.483	319.7082	0.2252	7	57	1
319.7082	319.8677	0.1595	4	57	2
319.8677	320.322	0.4542	9	57	3
320.5228	320.6598	0.137	3	57	4
320.6598	320.8869	0.2271	7	57	5
320.8869	321.1328	0.2459	9	57	6
321.1328	321.4653	0.3325	0	57	7
328.3001	328.5346	0.2345	6	58	1
328.5346	328.6903	0.1557	8	58	2
328.6903	329.0439	0.3536	3	58	3
329.2418	329.4378	0.196	3	58	4
329.4378	329.6262	0.1883	1	58	5
329.6262	329.8126	0.1864	3	58	6
329.8126	330.1105	0.2979	3	58	7
331.9725	332.161	0.1885	5	59	1
332.161	332.3017	0.1407	3	59	2
332.3017	332.7749	0.4732	6	59	3
332.9033	333.1179	0.2146	6	59	4
333.1179	333.3536	0.2357	6	59	5
333.3536	333.5207	0.1671	4	59	6
333.5207	333.8482	0.3275	4	59	7
335.7542	335.9404	0.1863	5	60	1
335.9404	336.1062	0.1657	1	60	2
336.1062	336.5094	0.4033	4	60	3
336.6256	336.8221	0.1965	0	60	4
336.8221	337.0255	0.2033	9	60	5
337.0255	337.1707	0.1452	8	60	6
337.1707	337.5244	0.3537	5	60	7
348.7427	348.9804	0.2378	7	61	1
348.9804	349.1739	0.1934	1	61	2
349.1739	349.4499	0.2761	8	61	3
349.7905	349.9436	0.1531	1	61	4
349.9436	350.1773	0.2337	7	61	5
350.1773	350.3486	0.1713	2	61	6
350.3486	350.8201	0.4715	5	61	7
356.2961	356.4478	0.1517	4	62	1
356.4478	356.6631	0.2153	3	62	2
356.6631	356.9338	0.2707	1	62	3
356.9338	357.167	0.2332	6	62	4
357.167	357.2746	0.1076	8	62	5
357.2746	357.4784	0.2038	3	62	6
357.4784	357.6937	0.2153	8	62	7
359.8383	360.1069	0.2686	6	63	1
360.1069	360.2402	0.1333	3	63	2
360.2402	360.6559	0.4158	9	63	3
360.7341	360.8922	0.1581	5	63	4
360.8922	361.1215	0.2292	5	63	5
361.1215	361.3134	0.1919	0	63	6
361.3134	361.733	0.4196	7	63	7
363.2072	363.3249	0.1177	8	64	1
363.3249	363.5658	0.2409	4	64	2
363.5658	364.0017	0.4358	6	64	3
364.0017	364.2205	0.2188	9	64	4
364.2205	364.4651	0.2446	5	64	5
364.4651	364.6692	0.2041	8	64	6
364.6692	365.0756	0.4064	9	64	7
374.7498	374.926	0.1762	1	65	1
374.926	375.1582	0.2321	2	65	2
375.1582	375.4009	0.2427	8	65	3
375.4464	375.6557	0.2093	6	65	4
375.6557	375.8651	0.2093	9	65	5
375.8651	376.0198	0.1547	1	65	6
376.0198	376.3675	0.3476	4	65	7
377.8745	378.0282	0.1537	4	66	1
378.0282	378.3269	0.2986	4	66	2
378.3269	378.6738	0.3469	1	66	3
378.7726	378.9834	0.2108	0	66	4
378.9834	379.225	0.2415	4	66	5
379.225	379.427	0.202	0	66	6
379.427	379.8771	0.4501	5	66	7
381.2475	381.4892	0.2416	6	67	1
381.4892	381.6921	0.2029	5	67	2
381.6921	382.0887	0.3966	0	67	3
382.1625	382.3709	0.2084	4	67	4
382.3709	382.5443	0.1734	1	67	5
382.5443	382.7767	0.2324	6	67	6
382.7767	383.0755	0.2988	0	67	7
385.2994	385.6084	0.309	9	68	1
385.6084	385.8781	0.2696	5	68	2
385.8781	386.2638	0.3858	4	68	3
386.3758	386.6019	0.2261	7	68	4
386.6019	386.7865	0.1846	6	68	5
386.7865	386.9897	0.2032	9	68	6
386.9897	387.3485	0.3588	7	68	7
389.8238	390.2078	0.384	7	69	1
390.2078	390.4866	0.2789	7	69	2
390.4866	390.8958	0.4091	7	69	3
391.0078	391.2706	0.2629	7	69	4
391.2706	391.5449	0.2743	7	69	5
391.5449	391.7918	0.2469	4	69	6
391.7918	392.167	0.3752	3	69	7
412.2149	412.4288	0.214	4	70	1
412.4288	412.7252	0.2964	5	70	2
412.7252	413.0182	0.293	1	70	3
413.1026	413.2267	0.1241	8	70	4
413.2267	413.5128	0.2861	7	70	5
413.5128	413.7213	0.2085	0	70	6
413.7213	414.0525	0.3311	9	70	7
423.2014	423.3627	0.1613	5	71	1
423.3627	423.5955	0.2328	6	71	2
423.5955	423.8084	0.2128	2	71	3
423.8084	424.0611	0.2527	7	71	4
424.0611	424.2523	0.1912	0	71	5
424.2523	424.4602	0.2079	0	71	6
424.4602	424.7778	0.3176	4	71	7
434.0764	434.2526	0.1762	5	72	1
434.2526	434.4671	0.2144	0	72	2
434.4671	434.8665	0.3995	3	72	3
435.9592	436.1619	0.2027	5	72	4
436.1619	436.4116	0.2497	8	72	5
436.4116	436.5878	0.1762	1	72	6
436.5878	436.9109	0.3231	1	72	7
438.6684	438.8671	0.1987	6	73	1
438.8671	439.0549	0.1878	7	73	2
439.0549	439.3867	0.3318	3	73	3
439.4395	439.6291	0.1896	2	73	4
439.6291	439.8314	0.2023	4	73	5
439.8314	440.0083	0.1768	2	73	6
440.0083	440.4093	0.401	4	73	7
443.531	443.8906	0.3596	3	74	1
443.8906	444.1268	0.2362	7	74	2
444.1268	444.5437	0.4169	9	74	3
444.6767	444.9268	0.2501	7	74	4
444.9268	445.1035	0.1767	5	74	5
445.1035	445.3834	0.2799	7	74	6
445.3834	445.6477	0.2643	1	74	7
446.7658	447.06	0.2942	0	75	1
447.06	447.2418	0.1818	1	75	2
447.2418	447.6523	0.4104	6	75	3
447.7029	447.8734	0.1705	2	75	4
447.8734	448.1789	0.3055	5	75	5
448.1789	448.4075	0.2286	2	75	6
448.4075	448.7358	0.3283	1	75	7
455.0228	455.1486	0.1259	5	76	1
455.1486	455.3634	0.2147	9	76	2
455.3634	455.621	0.2577	3	76	3
455.621	455.8165	0.1955	9	76	4
455.8165	456.0149	0.1984	2	76	5
456.0149	456.2001	0.1851	1	76	6
456.2001	456.5481	0.348	2	76	7
464.9703	465.2007	0.2305	9	77	1
465.2007	465.3559	0.1552	2	77	2
465.3559	465.5771	0.2212	3	77	3
465.5771	465.72	0.1429	8	77	4
465.72	465.9996	0.2796	5	77	5
465.9996	466.204	0.2043	1	77	6
466.204	466.5128	0.3088	0	77	7
467.7429	467.9124	0.1695	1	78	1
467.9124	468.1083	0.1959	3	78	2
468.1083	468.4843	0.376	2	78	3
468.6802	468.915	0.2348	5	78	4
468.915	469.0932	0.1783	3	78	5
469.0932	469.2733	0.18	9	78	6
469.2733	469.5825	0.3092	4	78	7
472.0252	472.1784	0.1531	8	79	1
472.1784	472.4196	0.2412	1	79	2
472.4196	472.8752	0.4556	0	79	3
472.9919	473.2006	0.2087	5	79	4
473.2006	473.3901	0.1895	0	79	5
473.3901	473.5758	0.1857	2	79	6
473.5758	474.0314	0.4556	6	79	7
490.3193	490.4755	0.1562	2	80	1
490.4755	490.7192	0.2437	5	80	2
490.7192	490.9698	0.2506	2	80	3
490.9698	491.2256	0.2557	9	80	4
491.2256	491.3955	0.1699	1	80	5
491.3955	491.598	0.2025	5	80	6
491.598	491.9739	0.3759	5	80	7
493.0562	493.2046	0.1485	3	81	1
493.2046	493.4515	0.2468	6	81	2
493.4515	493.8932	0.4417	0	81	3
493.8932	494.0936	0.2004	1	81	4
494.0936	494.3163	0.2227	2	81	5
494.3163	494.5557	0.2394	4	81	6
494.5557	495.0051	0.4494	5	81	7
502.1947	502.4159	0.2212	5	82	1
502.4159	502.6151	0.1992	4	82	2
502.6151	503.0747	0.4596	2	82	3
503.128	503.3371	0.2091	3	82	4
503.3371	503.5954	0.2584	9	82	5
503.5954	503.7966	0.2012	5	82	6
503.7966	504.2384	0.4418	6	82	7
505.9563	506.206	0.2496	6	83	1
506.206	506.3667	0.1607	2	83	2
506.3667	506.8137	0.4471	6	83	3
507.0466	507.2649	0.2184	5	83	4
507.2649	507.4195	0.1545	4	83	5
507.4195	507.6234	0.204	9	83	6
507.6234	508.1532	0.5298	6	83	7
511.174	511.3654	0.1914	1	84	1
511.3654	511.5929	0.2275	4	84	2
511.5929	511.7877	0.1948	8	84	3
511.8641	512.1044	0.2403	4	84	4
512.1044	512.4138	0.3094	4	84	5
512.4138	512.614	0.2002	1	84	6
512.614	513.1148	0.5008	9	84	7
514.7993	515.0491	0.2498	7	85	1
515.0491	515.221	0.1719	2	85	2
515.221	515.6445	0.4235	7	85	3
515.9485	516.0889	0.1405	8	85	4
516.0889	516.2881	0.1992	2	85	5
516.2881	516.4977	0.2096	9	85	6
516.4977	517.0348	0.537	5	85	7
518.9896	519.1479	0.1583	1	86	1
519.1479	519.3025	0.1546	8	86	2
519.3025	519.7119	0.4093	7	86	3
519.861	520.0175	0.1565	4	86	4
520.0175	520.2758	0.2583	6	86	5
520.2758	520.4359	0.1601	1	86	6
520.4359	520.8107	0.3748	7	86	7
522.9474	523.1203	0.173	8	87	1
523.1203	523.3894	0.269	9	87	2
523.3894	523.8698	0.4804	9	87	3
524.2755	524.4293	0.1537	4	87	4
524.4293	524.6428	0.2135	9	87	5
524.6428	524.8948	0.252	6	87	6
524.8948	525.1962	0.3014	2	87	7
534.6086	534.7744	0.1658	8	88	1
534.7744	534.9684	0.194	3	88	2
534.9684	535.3705	0.4022	5	88	3
535.3705	535.6213	0.2508	6	88	4
535.6213	535.8705	0.2492	5	88	5
535.8705	536.0802	0.2098	4	88	6
536.0802	536.2902	0.21	8	88	7
541.9059	542.1531	0.2472	7	89	1
542.1531	542.3421	0.189	3	89	2
542.3421	542.6183	0.2762	8	89	3
542.934	543.0835	0.1495	5	89	4
543.0835	543.3639	0.2804	9	89	5
543.3639	543.5799	0.216	0	89	6
543.5799	543.933	0.3531	0	89	7
545.3261	545.5543	0.2282	1	90	1
545.5543	545.764	0.2098	0	90	2
545.764	546.1835	0.4195	4	90	3
546.5083	546.6817	0.1734	8	90	4
546.6817	546.9459	0.2642	0	90	5
546.9459	547.1315	0.1855	1	90	6
547.1315	547.4767	0.3452	3	90	7
548.9987	549.2884	0.2898	6	91	1
549.2884	549.4463	0.1579	1	91	2
549.4463	549.907	0.4606	7	91	3
549.9645	550.2654	0.3009	0	91	4
550.2654	550.4716	0.2062	2	91	5
550.4716	550.7075	0.2359	5	91	6
550.7075	550.9641	0.2566	8	91	7
552.9102	553.0946	0.1844	8	92	1
553.0946	553.3239	0.2293	2	92	2
553.3239	553.8163	0.4924	4	92	3
553.9737	554.158	0.1844	3	92	4
554.158	554.4076	0.2496	3	92	5
554.4076	554.6257	0.2181	8	92	6
554.6257	555.0079	0.3822	0	92	7
556.9676	557.3184	0.3508	6	93	1
557.3184	557.5393	0.2208	9	93	2
557.5393	557.9283	0.389	5	93	3
558.0397	558.3375	0.2978	7	93	4
558.3375	558.5199	0.1823	2	93	5
558.5199	558.7549	0.235	2	93	6
558.7549	559.128	0.3731	8	93	7
