Word	Coda	Base	Morph	Boundary	freq
LACE	closed	closed	NULL	x	3
LACED	closed	closed	NULL	x	1
LADEN	open	open	NULL	x	1
LADIES	open	open	NULL	x	35
LADIES'	open	open	NULL	x	4
LADY	open	open	NULL	x	137
LADY'S	open	open	NULL	x	5
LAID	closed	free	inflect	b	32
LAKE	closed	closed	NULL	x	9
LAKERS	open	closed	deriv	x	2
LAKES	closed	closed	NULL	x	7
LAKESHORE	closed	closed	NULL	x	1
LAME	closed	closed	NULL	x	1
LANDSCAPE	closed	closed	NULL	x	1
LANDSCAPED	closed	closed	NULL	x	1
LANDSCAPERS	open	closed	deriv	x	1
LANDSCAPING	open	closed	inflect	x	2
LANE	closed	closed	NULL	x	39
LANE'S	closed	closed	NULL	x	1
LANES	closed	closed	NULL	x	6
LANSDALE	closed	closed	NULL	x	1
LASER	open	open	NULL	x	1
LATE	closed	closed	NULL	x	90
LATELY	closed	closed	NULL	x	11
LATER	open	closed	deriv	x	168
LATEST	open	closed	deriv	x	7
LAUDERDALE	closed	closed	NULL	x	1
LAWNDALE	closed	closed	NULL	x	1
LAY	final	free	NULL	b	30
LAYER	hiatus	hiatus	NULL	x	2
LAYERS	hiatus	hiatus	NULL	x	2
LAYIN'	hiatus	free	inflect	b	20
LAYING	hiatus	free	inflect	x	6
LAYOFF	hiatus	free	compound	b	1
LAYTEACHERS	final	free	NULL	x	1
LAZINESS	open	open	NULL	x	1
LAZY	open	open	NULL	x	3
LEEWAY	final	free	NULL	b	2
LEMONADE	closed	closed	NULL	x	5
LEVITATION	open	closed	deriv	x	1
LEYGZ	closed	closed	NULL	x	1
LIMITATIONS	open	closed	deriv	x	5
LITHUANIA	open	open	NULL	x	9
LITHUANIAN	open	open	NULL	x	12
LITIGATION	open	closed	deriv	x	1
LOCATE	closed	closed	NULL	x	1
LOCATED	open	closed	deriv	x	8
LOCATION	open	closed	deriv	x	10
LOVELACE	closed	closed	NULL	x	2
LUCINATIONS	open	closed	deriv	x	1
MA'	final	free	NULL	b	1
MABLE	open	open	NULL	x	2
MACON	open	open	NULL	x	4
MADE	closed	closed	inflect	b	433
MAGISTRATE	closed	closed	NULL	x	3
MAID	closed	closed	NULL	x	10
MAIDEN	open	open	NULL	x	14
MAIDS	closed	closed	NULL	x	1
